pid,X,Y,Z,Type,Comment,Digitised_by
3,1500.628907,1459.192737,455.9737796,Path,,GO
3,1510.053972,1457.904154,453.5074963,Path,,GO
3,1519.4711,1456.616656,451.0085076,Path,,GO
3,1528.879937,1455.330292,448.4766656,Path,,GO
3,1538.280132,1454.045109,445.9118228,Path,,GO
3,1547.671333,1452.761156,443.3138313,Path,,GO
3,1557.053186,1451.478481,440.6825436,Path,,GO
3,1566.425341,1450.197131,438.0178118,Path,,GO
3,1575.787443,1448.917156,435.3194883,Path,,GO
3,1585.139142,1447.638604,432.5874254,Path,,GO
3,1594.480084,1446.361522,429.8214754,Path,,GO
3,1603.809917,1445.085958,427.0214905,Path,,GO
3,1613.12829,1443.811962,424.1873231,Path,,GO
3,1629.131876,1441.623971,419.2306833,Path,,GO
3,1645.107286,1439.439833,414.1865468,Path,,GO
3,1661.062127,1437.258507,409.078389,Path,,GO
3,1677.004006,1435.078953,403.9296851,Path,,GO
3,1692.940531,1432.900132,398.7639104,Path,,GO
3,1708.879309,1430.721002,393.6045404,Path,,GO
3,1724.827947,1428.540524,388.4750503,Path,,GO
3,1740.794054,1426.357658,383.3989154,Path,,GO
3,1755.104367,1424.40117,378.9215969,Path,,GO
3,1769.446105,1422.440385,374.5014256,Path,,GO
3,1783.811005,1420.476434,370.1267792,Path,,GO
3,1798.190806,1418.510446,365.786035,Path,,GO
3,1812.577244,1416.543551,361.4675705,Path,,GO
3,1826.962057,1414.576877,357.1597632,Path,,GO
3,1841.336982,1412.611555,352.8509905,Path,,GO
3,1855.693757,1410.648714,348.5296301,Path,,GO
4,336.2513332,1284.243487,234.0878169,Path,,GO
4,345.5444442,1295.37586,237.3981296,Path,,GO
4,354.815251,1306.481514,240.8188769,Path,,GO
4,364.0663221,1317.563527,244.3378536,Path,,GO
4,373.3002257,1328.624974,247.9428549,Path,,GO
4,382.51953,1339.668932,251.6216756,Path,,GO
4,391.7268033,1350.698478,255.3621106,Path,,GO
4,400.9246139,1361.716689,259.151955,Path,,GO
4,410.1155301,1372.72664,262.9790036,Path,,GO
4,419.3021201,1383.73141,266.8310514,Path,,GO
4,428.4869521,1394.734073,270.6958935,Path,,GO
4,437.6725946,1405.737707,274.5613246,Path,,GO
4,446.8616157,1416.745389,278.4151399,Path,,GO
4,456.0565837,1427.760194,282.2451341,Path,,GO
4,465.2600669,1438.7852,286.0391023,Path,,GO
4,474.4746336,1449.823483,289.7848395,Path,,GO
4,483.7028519,1460.87812,293.4701405,Path,,GO
4,492.6523737,1471.597824,296.9431223,Path,,GO
4,500.8717472,1481.441464,299.9848408,Path,,GO
4,508.5696755,1490.660168,302.658328,Path,,GO
4,515.9548618,1499.505066,305.0266157,Path,,GO
4,530.6218202,1517.077953,309.0997208,Path,,GO
4,538.3209984,1526.308199,310.930602,Path,,GO
4,546.5422469,1536.169153,312.7084115,Path,,GO
4,555.9310215,1546.741512,314.6728509,Path,,GO
4,566.1037723,1557.786368,316.902425,Path,,GO
4,575.8357962,1569.207532,319.241189,Path,,GO
4,583.9023903,1580.908816,321.5331979,Path,,GO
4,592.5889222,1602.263817,324.8532275,Path,,GO
4,598.8668523,1624.209761,328.7408711,Path,,GO
4,603.4130176,1640.693997,333.3110942,Path,,GO
4,607.2821583,1656.923023,339.1058444,Path,,GO
4,610.6057536,1672.901063,345.9347483,Path,,GO
4,613.5152823,1688.63234,353.6074326,Path,,GO
4,616.1422235,1704.121075,361.933524,Path,,GO
4,618.6180561,1719.371492,370.7226491,Path,,GO
4,621.074259,1734.387813,379.7844344,Path,,GO
4,623.6423113,1749.174261,388.9285068,Path,,GO
4,627.0093278,1767.692852,400.3766091,Path,,GO
4,630.3866782,1786.268279,411.7297465,Path,,GO
4,633.7744039,1804.900771,422.9858334,Path,,GO
4,637.1725467,1823.590556,434.1427842,Path,,GO
4,640.0791924,1839.577107,443.5742302,Path,,GO
4,642.9938705,1855.607837,452.9253055,Path,,GO
4,645.9163452,1871.681448,462.1980426,Path,,GO
4,648.8463804,1887.796641,471.394474,Path,,GO
4,651.7837401,1903.95212,480.516632,Path,,GO
4,654.7281885,1920.146586,489.5665493,Path,,GO
4,657.6794894,1936.378742,498.5462582,Path,,GO
4,660.6374071,1952.647289,507.4577912,Path,,GO
4,663.6017054,1968.95093,516.3031808,Path,,GO
4,666.5721485,1985.288367,525.0844595,Path,,GO
4,669.5485003,2001.658302,533.8036598,Path,,GO
4,672.530525,2018.059438,542.462814,Path,,GO
4,675.5179865,2034.490476,551.0639548,Path,,GO
4,678.5106488,2050.950118,559.6091145,Path,,GO
4,681.5082761,2067.437068,568.1003256,Path,,GO
4,684.5106323,2083.950026,576.5396206,Path,,GO
5,927.0022924,2181.978569,535.9428597,Path,,GO
5,938.8856556,2168.150655,529.7103455,Path,,GO
